,YearStart,YearEnd,LocationAbbr,LocationDesc,Datasource,Class,Topic,Question,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Alt,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit ,Sample_Size,Total,Age(years),Education,Gender,Income,Race/Ethnicity,GeoLocation,ClassID,TopicID,QuestionID,DataValueTypeID,LocationID,StratificationCategory1,Stratification1,StratificationCategoryId1,StratificationID1
3826,2015,2015,MD,Maryland,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),,Value,26.6,26.6,,,15.9,41.0,112.0,,,,,,2 or more races,"(39.290580964, -76.609260111)",PA,PA1,Q045,VALUE,24,Race/Ethnicity,2 or more races,RACE,RACE2PLUS
3827,2012,2012,OK,Oklahoma,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,31.0,,~,Data not available because sample size is insufficient.,,,,,,,,,Other,"(35.472031356, -97.521070214)",OWS,OWS1,Q036,VALUE,40,Race/Ethnicity,Other,RACE,RACEOTH
3828,2021,2021,WY,Wyoming,Behavioral Risk Factor Surveillance System,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming fruit less than one time daily,,Value,41.8,41.8,,,38.0,45.7,1350.0,,,,,Data not reported,,"(43.23554134300048, -108.10983035299967)",FV,FV1,Q018,VALUE,56,Income,Data not reported,INC,INCNR
3829,2022,2022,AL,Alabama,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,43.2,43.2,,,37.8,48.6,477.0,,35 - 44,,,,,"(32.84057112200048, -86.63186076199969)",OWS,OWS1,Q036,VALUE,1,Age (years),35 - 44,AGEYR,AGEYR3544
3830,2021,2021,IA,Iowa,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,,Value,21.5,21.5,,,19.7,23.5,2762.0,,,Some college or technical school,,,,"(42.46940091300047, -93.81649055599968)",PA,PA1,Q047,VALUE,19,Education,Some college or technical school,EDU,EDUCOTEC
3831,2021,2021,WY,Wyoming,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,32.8,32.8,,,29.4,36.4,1316.0,,,Some college or technical school,,,,"(43.23554134300048, -108.10983035299967)",OWS,OWS1,Q036,VALUE,56,Education,Some college or technical school,EDU,EDUCOTEC
3832,2021,2021,SC,South Carolina,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,,Value,28.5,28.5,,,17.2,43.3,57.0,,,,,,Asian,"(33.998821303000454, -81.04537120699968)",OWS,OWS1,Q037,VALUE,45,Race/Ethnicity,Asian,RACE,RACEASN
3833,2013,2013,MA,Massachusetts,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,,Value,23.5,23.5,,,21.2,26.1,2994.0,,55 - 64,,,,,"(42.27687047, -72.082690675)",PA,PA1,Q047,VALUE,25,Age (years),55 - 64,AGEYR,AGEYR5564
3834,2020,2020,VT,Vermont,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,,Value,18.3,18.3,,,15.5,21.6,1004.0,,45 - 54,,,,,"(43.62538123900049, -72.51764079099962)",PA,PA1,Q047,VALUE,50,Age (years),45 - 54,AGEYR,AGEYR4554
3835,2017,2017,GA,Georgia,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,,Value,38.5,38.5,,,35.9,41.2,2028.0,,,College graduate,,,,"(32.839681093, -83.627580346)",PA,PA1,Q046,VALUE,13,Education,College graduate,EDU,EDUCOGRAD
